,pokemon,description,number_nationaldex
586,Emolga,"
                  They live on treetops and glide using the inside of
a cape-like membrane while discharging electricity.
                ",587
587,Karrablast,"
                  These mysterious Pokémon evolve when they
receive electrical stimulation while they are in the
same place as Shelmet.
                ",588
588,Escavalier,"
                  Wearing the shell covering they stole from Shelmet,
they defend themselves and attack with two lances.
                ",589
589,Foongus,"
                  It lures people in with its Poké Ball pattern, then
releases poison spores. Why it resembles a
Poké Ball is unknown.
                ",590
590,Amoonguss,"
                  They show off their Poké Ball caps to lure prey,
but very few Pokémon are fooled by this.
                ",591
591,Frillish,"
                  They paralyze prey with poison, then drag them
down to their lairs, five miles below the surface.
                ",592
592,Jellicent,"
                  Its body is mostly seawater. It's said there's a
castle of ships Jellicent have sunk on the seafloor.
                ",593
593,Alomomola,"
                  Floating in the open sea is how they live.
When they find a wounded Pokémon,
they embrace it and bring it to shore.
                ",594
594,Joltik,"
                  Since it can't generate its own electricity, it sticks
onto large-bodied Pokémon and absorbs
static electricity.
                ",595
595,Galvantula,"
                  They employ an electrically charged web to trap
their prey. While it is immobilized by shock,
they leisurely consume it.
                ",596
596,Ferroseed,"
                  When threatened, it attacks by shooting a barrage
of spikes, which gives it a chance to escape by
rolling away.
                ",597
597,Ferrothorn,"
                  By swinging around its three spiky feelers and
shooting spikes, it can obliterate an opponent.
                ",598
598,Klink,"
                  Interlocking two bodies and spinning around
generates the energy they need to live.
                ",599
599,Klang,"
                  By changing the direction in which it rotates,
it communicates its feelings to others. When angry,
it rotates faster.
                ",600
600,Klinklang,"
                  The gear with the red core is rotated at high speed
for a rapid energy charge.
                ",601
601,Tynamo,"
                  While one alone doesn't have much power, a chain
of many Tynamo can be as powerful as lightning.
                ",602
602,Eelektrik,"
                  It wraps itself around its prey and paralyzes it with
electricity from the round spots on its sides.
Then it chomps.
                ",603
603,Eelektross,"
                  With their sucker mouths, they suck in prey.
Then they use their fangs to shock the prey
with electricity.
                ",604
604,Elgyem,"
                  It uses its strong psychic power to squeeze its
opponent's brain, causing unendurable headaches.
                ",605
605,Beheeyem,"
                  Apparently, it communicates by flashing its three
fingers, but those patterns haven't been decoded.
                ",606
606,Litwick,"
                  While shining a light and pretending to be a guide,
it leeches off the life force of any who follow it.
                ",607
607,Lampent,"
                  The spirits it absorbs fuel its baleful fire. It hangs
around hospitals waiting for people to pass on.
                ",608
608,Chandelure,"
                  Being consumed in Chandelure's flame burns up
the spirit, leaving the body behind.
                ",609
609,Axew,"
                  They use their tusks to crush the berries they eat.
Repeated regrowth makes their tusks strong
and sharp.
                ",610
610,Fraxure,"
                  Their tusks can shatter rocks. Territory battles
between Fraxure can be intensely violent.
                ",611
611,Haxorus,"
                  They are kind but can be relentless when defending
territory. They challenge foes with tusks that can
cut steel.
                ",612
612,Cubchoo,"
                  Its nose is always running. It sniffs the snot back up
because the mucus provides the raw material for
its moves.
                ",613
613,Beartic,"
                  They love the cold seas of the north. They create
pathways across the ocean waters by freezing their
own breath.
                ",614
614,Cryogonal,"
                  They are born in snow clouds. They use chains
made of ice crystals to capture prey.
                ",615
615,Shelmet,"
                  When it and Karrablast are together, and both
receive electrical stimulation, they both evolve.
                ",616
616,Accelgor,"
                  Having removed its heavy shell, it becomes very
light and can fight with ninja-like movements.
                ",617
617,Stunfisk,"
                  Its skin is very hard, so it is unhurt even if stepped
on by sumo wrestlers. It smiles when
transmitting electricity.
                ",618
618,Mienfoo,"
                  It takes pride in the speed at which it can use
moves. What it loses in power, it makes up for
in quantity.
                ",619
619,Mienshao,"
                  It wields the fur on its arms like a whip. Its arm
attacks come with such rapidity that they cannot
even be seen.
                ",620
620,Druddigon,"
                  It races through narrow caves, using its sharp claws
to catch prey. The skin on its face is harder than
a rock.
                ",621
621,Golett,"
                  The energy that burns inside it enables it to move,
but no one has yet been able to identify
this energy.
                ",622
622,Golurk,"
                  It is said that Golurk were ordered to protect
people and Pokémon by the ancient people who
made them.
                ",623
623,Pawniard,"
                  Blades comprise this Pokémon's entire body.
If battling dulls the blades, it sharpens them on
stones by the river.
                ",624
624,Bisharp,"
                  This pitiless Pokémon commands a group of
Pawniard to hound prey into immobility. It then
moves in to finish the prey off.
                ",625
625,Bouffalant,"
                  They charge wildly and headbutt everything.
Their headbutts have enough destructive force to
derail a train.
                ",626
626,Rufflet,"
                  They crush berries with their talons. They bravely
stand up to any opponent, no matter how strong
it is.
                ",627
627,Braviary,"
                  For the sake of its friends, this brave warrior of the
sky will not stop battling, even if injured.
                ",628
628,Vullaby,"
                  Its wings are too tiny to allow it to fly. As the time
approaches for it to evolve, it discards the bones
it was wearing.
                ",629
629,Mandibuzz,"
                  They fly in circles around the sky. When they spot
prey, they attack and carry it back to their nest
with ease.
                ",630
630,Heatmor,"
                  Using their very hot, flame-covered tongues,
they burn through Durant's steel bodies and
consume their insides.
                ",631
631,Durant,"
                  Individuals each play different roles in driving
Heatmor, their natural predator, away from
their colony.
                ",632
632,Deino,"
                  They cannot see, so they tackle and bite to learn
about their surroundings. Their bodies are covered
in wounds.
                ",633
633,Zweilous,"
                  The two heads do not get along. Whichever head
eats more than the other gets to be the leader.
                ",634
634,Hydreigon,"
                  The heads on their arms do not have brains.
They use all three heads to consume and
destroy everything.
                ",635
635,Larvesta,"
                  Said to have been born from the sun, it spews fire
from its horns and encases itself in a cocoon of fire
when it evolves.
                ",636
636,Volcarona,"
                  A sea of fire engulfs the surroundings of their
battles, since they use their six wings to scatter
their ember scales.
                ",637
637,Cobalion,"
                  It has a body and heart of steel. Its glare is
sufficient to make even an unruly Pokémon obey it.
                ",638
638,Terrakion,"
                  Its charge is strong enough to break through a
giant castle wall in one blow. This Pokémon is
spoken of in legends.
                ",639
639,Virizion,"
                  Its head sprouts horns as sharp as blades. Using
whirlwind-like movements, it confounds and swiftly
cuts opponents.
                ",640
640,Tornadus,"
                  The lower half of its body is wrapped in a cloud of
energy. It zooms through the sky at 200 mph.
                ",641
641,Thundurus,"
                  The spikes on its tail discharge immense bolts of
lightning. It flies around the Unova region firing off
lightning bolts.
                ",642
642,Reshiram,"
                  This legendary Pokémon can scorch the world with
fire. It helps those who want to build a world
of truth.
                ",643
643,Zekrom,"
                  This legendary Pokémon can scorch the world with
lightning. It assists those who want to build an
ideal world.
                ",644
644,Landorus,"
                  Lands visited by Landorus grant such bountiful
crops that it has been hailed as “The Guardian of
the Fields.”
                ",645
645,Kyurem,"
                  This legendary ice Pokémon waits for a hero to fill
in the missing parts of its body with truth or ideals.
                ",646
646,Keldeo,"
                  It crosses the world, running over the surfaces of
oceans and rivers. It appears at scenic waterfronts.
                ",647
647,Meloetta,"
                  The melodies sung by Meloetta have the power to
make Pokémon that hear them happy or sad.
                ",648
648,Genesect,"
                  This ancient bug Pokémon was altered by Team
Plasma. They upgraded the cannon on its back.
                ",649
649,Chespin,"
                  The quills on its head are usually soft.
When it flexes them, the points become
so hard and sharp that they can pierce rock.
                ",650
650,Quilladin,"
                  It relies on its sturdy shell to deflect predators'
attacks. It counterattacks with its sharp quills.
                ",651
651,Chesnaught,"
                  Its Tackle is forceful enough to flip a 50-ton tank.
It shields its allies from danger with its own body.
                ",652
652,Fennekin,"
                  Eating a twig fills it with energy,
and its roomy ears give vent to air
hotter than 390 degrees Fahrenheit.
                ",653
653,Braixen,"
                  It has a twig stuck in its tail. With
friction from its tail fur, it sets the
twig on fire and launches into battle.
                ",654
654,Delphox,"
                  It gazes into the flame at the tip of
its branch to achieve a focused state,
which allows it to see into the future.
                ",655
655,Froakie,"
                  It secretes flexible bubbles from its chest and back.
The bubbles reduce the damage it would otherwise
take when attacked.
                ",656
656,Frogadier,"
                  It can throw bubble-covered pebbles with precise
control, hitting empty cans up to a hundred feet away.
                ",657
657,Greninja,"
                  It creates throwing stars out of compressed water.
When it spins them and throws them at high speed,
these stars can split metal in two.
                ",658
658,Bunnelby,"
                  They use their large ears to dig burrows.
They will dig the whole night through.
                ",659
659,Diggersby,"
                  With their powerful ears, they can heft
boulders of a ton or more with ease.
They can be a big help at construction sites.
                ",660
660,Fletchling,"
                  These friendly Pokémon send signals
to one another with beautiful chirps
and tail-feather movements.
                ",661
661,Fletchinder,"
                  From its beak, it expels embers that set
the tall grass on fire. Then it pounces on
the bewildered prey that pop out of the grass.
                ",662
662,Talonflame,"
                  In the fever of an exciting battle, it
showers embers from the gaps between
its feathers and takes to the air.
                ",663
663,Scatterbug,"
                  When under attack from bird Pokémon,
it spews a poisonous black powder
that causes paralysis on contact.
                ",664
664,Spewpa,"
                  It lives hidden within thicket shadows.
When predators attack, it quickly bristles the fur
covering its body in an effort to threaten them.
                ",665
665,Vivillon,"
                  Vivillon with many different patterns are
found all over the world. These patterns
are affected by the climate of their habitat.
                ",666
666,Litleo,"
                  The stronger the opponent it faces,
the more heat surges from its mane
and the more power flows through its body.
                ",667
667,Pyroar,"
                  The male with the largest mane of fire
is the leader of the pride.
                ",668
668,Flabébé,"
                  It draws out and controls the hidden power
of flowers. The flower Flabébé holds
is most likely part of its body.
                ",669
669,Floette,"
                  It flutters around fields of flowers and cares for
flowers that are starting to wilt. It draws
out the hidden power of flowers to battle.
                ",670
670,Florges,"
                  It claims exquisite flower gardens as its territory,
and it obtains power from basking in the energy
emitted by flowering plants.
                ",671
671,Skiddo,"
                  Thought to be one of the first Pokémon to live in
harmony with humans, it has a placid disposition.
                ",672
672,Gogoat,"
                  It can tell how its Trainer is feeling by
subtle shifts in the grip on its horns.
This empathic sense lets them run as if one being.
                ",673
673,Pancham,"
                  It does its best to be taken seriously by its enemies,
but its glare is not sufficiently intimidating.
Chewing on a leaf is its trademark.
                ",674
674,Pangoro,"
                  Although it possesses a violent temperament,
it won't put up with bullying. It uses the leaf in
its mouth to sense the movements of its enemies.
                ",675
675,Furfrou,"
                  Trimming its fluffy fur not only makes
it more elegant but also increases the
swiftness of its movements.
                ",676
676,Espurr,"
                  The organ that emits its intense psychic power is
sheltered by its ears to keep power from leaking out.
                ",677
677,Meowstic,"
                  When in danger, it raises its ears and
releases enough psychic power to
grind a 10-ton truck into dust.
                ",678
678,Honedge,"
                  Apparently this Pokémon is born when a
departed spirit inhabits a sword. It attaches itself
to people and drinks their life force.
                ",679
679,Doublade,"
                  When Honedge evolves, it divides into two swords,
which cooperate via telepathy to coordinate attacks
and slash their enemies to ribbons.
                ",680
680,Aegislash,"
                  Generations of kings were attended by these
Pokémon, which used their spectral power to
manipulate and control people and Pokémon.
                ",681
681,Spritzee,"
                  It emits a scent that enraptures those
who smell it. This fragrance changes
depending on what it has eaten.
                ",682
682,Aromatisse,"
                  It devises various scents, pleasant and unpleasant,
and emits scents that its enemies dislike in order
to gain an edge in battle.
                ",683
683,Swirlix,"
                  To entangle its opponents in battle, it extrudes
white threads as sweet and sticky as cotton candy.
                ",684
684,Slurpuff,"
                  It can distinguish the faintest of scents.
It puts its sensitive sense of smell to use
by helping pastry chefs in their work.
                ",685
685,Inkay,"
                  Opponents who stare at the flashing of the
light-emitting spots on its body become
dazed and lose their will to fight.
                ",686
686,Malamar,"
                  It wields the most compelling hypnotic powers
of any Pokémon, and it forces others to do
whatever it wants.
                ",687
687,Binacle,"
                  Two Binacle live together on one rock.
When they fight, one of them will move
to a different rock.
                ",688
688,Barbaracle,"
                  When they evolve, two Binacle multiply into seven.
They fight with the power of seven Binacle.
                ",689
689,Skrelp,"
                  Camouflaged as rotten kelp, they spray
liquid poison on prey that approaches
unawares and then finish it off.
                ",690
690,Dragalge,"
                  Their poison is strong enough to eat through
the hull of a tanker, and they spit it indiscriminately
at anything that enters their territory.
                ",691
691,Clauncher,"
                  They knock down flying prey by firing
compressed water from their massive
claws like shooting a pistol.
                ",692
692,Clawitzer,"
                  Their enormous claws launch cannonballs of
water powerful enough to pierce tanker hulls.
                ",693
693,Helioptile,"
                  They make their home in deserts. They can
generate their energy from basking in the sun,
so eating food is not a requirement.
                ",694
694,Heliolisk,"
                  They flare their frills and generate energy.
A single Heliolisk can generate sufficient
electricity to power a skyscraper.
                ",695
695,Tyrunt,"
                  This Pokémon was restored from a fossil.
If something happens that it doesn't like,
it throws a tantrum and runs wild.
                ",696
696,Tyrantrum,"
                  Thanks to its gargantuan jaws, which could shred
thick metal plates as if they were paper, it was
invincible in the ancient world it once inhabited.
                ",697
697,Amaura,"
                  This ancient Pokémon was restored
from part of its body that had been
frozen in ice for over 100 million years.
                ",698
698,Aurorus,"
                  The diamond-shaped crystals on its body
expel air as cold as -240 degrees Fahrenheit,
surrounding its enemies and encasing them in ice.
                ",699
699,Sylveon,"
                  It sends a soothing aura from its
ribbonlike feelers to calm fights.
                ",700
700,Hawlucha,"
                  Although its body is small, its proficient
fighting skills enable it to keep up with
big bruisers like Machamp and Hariyama.
                ",701
701,Dedenne,"
                  Its whiskers serve as antennas. By sending and
receiving electrical waves, it can communicate
with others over vast distances.
                ",702
702,Carbink,"
                  Born from the temperatures and pressures
deep underground, it fires beams from the
stone in its head.
                ",703
703,Goomy,"
                  The weakest Dragon-type Pokémon,
it lives in damp, shady places, so its
body doesn't dry out.
                ",704
704,Sliggoo,"
                  It drives away opponents by excreting a
sticky liquid that can dissolve anything.
Its eyes devolved, so it can't see anything.
                ",705
705,Goodra,"
                  This very friendly Dragon-type Pokémon
will hug its beloved Trainer, leaving
that Trainer covered in sticky slime.
                ",706
706,Klefki,"
                  These key collectors threaten any attackers
by fiercely jingling their keys at them.
                ",707
707,Phantump,"
                  These Pokémon are created when
spirits possess rotten tree stumps.
They prefer to live in abandoned forests.
                ",708
708,Trevenant,"
                  It can control trees at will. It will trap people
who harm the forest, so they can never leave.
                ",709
709,Pumpkaboo,"
                  The pumpkin body is inhabited by a spirit
trapped in this world. As the sun sets,
it becomes restless and active.
                ",710
710,Gourgeist,"
                  Singing in eerie voices, they wander
town streets on the night of the new moon.
Anyone who hears their song is cursed.
                ",711
711,Bergmite,"
                  It blocks opponents' attacks with the
ice that shields its body. It uses cold air
to repair any cracks with new ice.
                ",712
712,Avalugg,"
                  Its ice-covered body is as hard as steel.
Its cumbersome frame crushes anything that
stands in its way.
                ",713
713,Noibat,"
                  They live in pitch-black caves. Their enormous ears
can emit ultrasonic waves of 200,000 hertz.
                ",714
714,Noivern,"
                  They fly around on moonless nights
and attack careless prey. Nothing can
beat them in a battle in the dark.
                ",715
715,Xerneas,"
                  Legends say it can share eternal life.
It slept for a thousand years in the form
of a tree before its revival.
                ",716
716,Yveltal,"
                  When this legendary Pokémon's wings and
tail feathers spread wide and glow red,
it absorbs the life force of living creatures.
                ",717
717,Zygarde,"
                  This is Zygarde's form when it has gathered 50% of its cells. It wipes out all those who oppose it, showing not a shred of mercy.
                ",718
718,Diancie,"
                  A sudden transformation of Carbink,
its pink, glimmering body is said to be
the loveliest sight in the whole world.
                ",719
719,Hoopa,"
                  In its true form, it possesses a huge amount of power. Legends of its avarice tell how it once carried off an entire castle to gain the treasure hidden within.
                ",720
720,Volcanion,"
                  It lets out billows of steam and disappears into
the dense fog. It's said to live in mountains
where humans do not tread.
                ",721
721,Rowlet,"
                  This wary Pokémon uses photosynthesis to
store up energy during the day, while becoming
active at night.
                ",722
722,Dartrix,"
                  A bit of a dandy, it spends its free time
preening its wings. Its preoccupation with any
dirt on its plumage can leave it unable to battle.
                ",723
723,Decidueye,"
                  It fires arrow quills from its wings with such
precision, they can pierce a pebble at distances
over a hundred yards.
                ",724
724,Litten,"
                  While grooming itself, it builds up fur inside its
stomach. It sets the fur alight and spews fiery
attacks, which change based on how it coughs.
                ",725
725,Torracat,"
                  At its throat, it bears a bell of fire. The bell rings
brightly whenever this Pokémon spits fire.
                ",726
726,Incineroar,"
                  This Pokémon has a violent, selfish disposition.
If it's not in the mood to listen, it will ignore its
Trainer's orders with complete nonchalance.
                ",727
727,Popplio,"
                  This Pokémon snorts body fluids from its nose,
blowing balloons to smash into its foes.
It's famous for being a hard worker.
                ",728
728,Brionne,"
                  A skillful dancer, it creates a sequence of water
balloons as it dances, and briskly bombards
its enemies.
                ",729
729,Primarina,"
                  It controls its water balloons with song. The
melody is learned from others of its kind and is
passed down from one generation to the next.
                ",730
730,Pikipek,"
                  It can peck at a rate of 16 times a second to
drill holes in trees. It uses the holes for food
storage and for nesting.
                ",731
731,Trumbeak,"
                  It eats berries and stores their seeds in its
beak. When it encounters enemies or prey,
it fires off all the seeds in a burst.
                ",732
732,Toucannon,"
                  When it battles, its beak heats up. The
temperature can easily exceed 212 degrees
Fahrenheit, causing severe burns when it hits.
                ",733
733,Yungoos,"
                  With its sharp fangs, it will bite anything.
It did not originally live in Alola but was
imported from another region.
                ",734
734,Gumshoos,"
                  When it finds a trace of its prey, it patiently
stakes out the location...but it's always snoozing
by nightfall.
                ",735
735,Grubbin,"
                  Its strong jaw enables it to scrape trees and
slurp out the sap. It normally lives underground.
                ",736
736,Charjabug,"
                  Its body is capable of storing electricity. On
camping trips, people are grateful to have
one around.
                ",737
737,Vikavolt,"
                  It zips around, on sharp lookout for an opening.
It concentrates electrical energy within its large
jaws and uses it to zap its enemies.
                ",738
738,Crabrawler,"
                  While guarding its weak points with its pincers,
it looks for an opening and unleashes punches.
When it loses, it foams at the mouth and faints.
                ",739
739,Crabominable,"
                  It aimed for the top but got lost and ended up
on a snowy mountain. Being forced to endure
the cold, this Pokémon evolved and grew fur.
                ",740
740,Oricorio,"
                  It beats its wings together to create fire.
As it moves in the steps of its beautiful dance,
it bathes opponents in intense flames.
                ",741
741,Cutiefly,"
                  It feeds on the nectar and pollen of flowers.
Because it's able to sense auras, it can identify
which flowers are about to bloom.
                ",742
742,Ribombee,"
                  It rolls up pollen into puffs. It makes many
different varieties, some used as food and
others used in battle.
                ",743
743,Rockruff,"
                  It's considered to be a good Pokémon for
beginners because of its friendliness, but its
disposition grows rougher as it grows up.
                ",744
744,Lycanroc,"
                  Its quick movements confuse its enemies.
Well equipped with claws and fangs, it also uses
the sharp rocks in its mane as weapons.
                ",745
745,Wishiwashi,"
                  When it's in trouble, its eyes moisten and begin
to shine. The shining light attracts its comrades,
and they stand together against their enemies.
                ",746
746,Mareanie,"
                  It plunges the poison spike on its head into its
prey. When the prey has weakened, Mareanie
deals the finishing blow with its 10 tentacles.
                ",747
747,Toxapex,"
                  Toxapex crawls along the ocean floor on its
12 legs. It leaves a trail of Corsola bits
scattered in its wake.
                ",748
748,Mudbray,"
                  The mud stuck to Mudbray's hooves enhances
its grip and its powerful running gait.
                ",749
749,Mudsdale,"
                  It spits a mud that provides resistance to both
wind and rain, so the walls of old houses were
often coated with it.
                ",750
750,Dewpider,"
                  It crawls onto the land in search of food.
Its water bubble allows it to breathe and
protects its soft head.
                ",751
751,Araquanid,"
                  It delivers headbutts with the water bubble
on its head. Small Pokémon get sucked into
the bubble, where they drown.
                ",752
752,Fomantis,"
                  During the day, it sleeps and soaks up light.
When night falls, it walks around looking
for a safer place to sleep.
                ",753
753,Lurantis,"
                  It requires a lot of effort to maintain Lurantis's
vivid coloring, but some collectors enjoy this
work and treat it as their hobby.
                ",754
754,Morelull,"
                  It scatters spores that flicker and glow. Anyone
seeing these lights falls into a deep slumber.
                ",755
755,Shiinotic,"
                  Forests where Shiinotic live are treacherous to
enter at night. People confused by its strange
lights can never find their way home again.
                ",756
756,Salandit,"
                  It burns its bodily fluids to create a poisonous
gas. When its enemies become disoriented from
inhaling the gas, it attacks them.
                ",757
757,Salazzle,"
                  For some reason, only females have been found.
It creates a reverse harem of male Salandit that
it lives with.
                ",758
758,Stufful,"
                  Despite its adorable appearance, when it gets
angry and flails about, its arms and legs could
knock a pro wrestler sprawling.
                ",759
759,Bewear,"
                  This immensely dangerous Pokémon
possesses overwhelming physical strength.
Its habitat is generally off-limits.
                ",760
760,Bounsweet,"
                  A delectable aroma pours from its body.
They are often swallowed whole by Toucannon
lured by that wafting deliciousness.
                ",761
761,Steenee,"
                  The sepals on its head developed to protect its
body. These are quite hard, so even if pecked
by bird Pokémon, this Pokémon is totally fine.
                ",762
762,Tsareena,"
                  Its long, striking legs aren't just for show but to
be used to kick with skill. In victory, it shows off
by kicking the defeated, laughing boisterously.
                ",763
763,Comfey,"
                  It attaches flowers to its highly nutritious vine.
This revitalizes the flowers, and they give off
an aromatic scent.
                ",764
764,Oranguru,"
                  Known for its extreme intelligence, this Pokémon
will look down on inexperienced Trainers, so it's
best suited to veteran Trainers.
                ",765
765,Passimian,"
                  They form groups of roughly 20 individuals.
Their mutual bond is remarkable—they will never
let down a comrade.
                ",766
766,Wimpod,"
                  This Pokémon is a coward. As it desperately
dashes off, the flailing of its many legs leaves a
sparkling clean path in its wake.
                ",767
767,Golisopod,"
                  With a flashing slash of its giant sharp claws,
it cleaves seawater—or even air—right in two.
                ",768
768,Sandygast,"
                  Born from a sand mound playfully built by a
child, this Pokémon embodies the grudges of
the departed.
                ",769
769,Palossand,"
                  Possessed people controlled by this Pokémon
transformed its sand mound into a castle. As it
evolved, its power to curse grew ever stronger.
                ",770
770,Pyukumuku,"
                  It lives in shallow seas, such as areas near a
beach. It can eject its internal organs, which it
uses to engulf its prey or battle enemies.
                ",771
771,Type:,"
                  The heavy control mask it wears suppresses its
intrinsic capabilities. This Pokémon has some
hidden special power.
                ",ull
772,Silvally,"
                  Its trust in its partner is what awakens it.
This Pokémon is capable of changing its type,
a flexibility that is well displayed in battle.
                ",773
773,Minior,"
                  Originally making its home in the ozone layer,
it hurtles to the ground when the shell enclosing
its body grows too heavy.
                ",774
774,Komala,"
                  It is born asleep, and it dies asleep. All its
movements are apparently no more than the
results of it tossing and turning in its dreams.
                ",775
775,Turtonator,"
                  The shell on its back is chemically unstable
and explodes violently if struck. The hole in its
stomach is its weak point.
                ",776
776,Togedemaru,"
                  The spiny fur on its back is normally at rest.
When this Pokémon becomes agitated, its fur
stands on end and stabs into its attackers.
                ",777
777,Mimikyu,"
                  Its actual appearance is unknown. A scholar
who saw what was under its rag was
overwhelmed by terror and died from the shock.
                ",778
778,Bruxish,"
                  When it unleashes its psychic power from the
protuberance on its head, the grating sound
of grinding teeth echoes through the area.
                ",779
779,Drampa,"
                  It has a compassionate personality, but if it is
angered, it completely destroys its surroundings
with its intense breath.
                ",780
780,Dhelmise,"
                  Swinging its massive anchor, it can KO Wailord
in a single blow. What appears to be green
seaweed is actually its body.
                ",781
781,Jangmo-o,"
                  It expresses its feelings by smacking
its scales. Metallic sounds echo through
the tall mountains where Jangmo-o lives.
                ",782
782,Hakamo-o,"
                  It leaps at its prey with a courageous shout.
Its scaly punches tear its opponents to shreds.
                ",783
783,Kommo-o,"
                  When it spots enemies, it threatens them by
jingling the scales on its tail. Weak opponents
will crack and flee in panic.
                ",784
784,Tapu,"
                  This guardian deity of Melemele is brimming with
curiosity. It summons thunderclouds and stores
their lightning inside its body.
                ",oko
785,Tapu,"
                  This guardian deity of Akala is guilelessly cruel.
The fragrant aroma of flowers is the source of
its energy.
                ",ele
786,Tapu,"
                  It pulls large trees up by the roots and swings
them around. It causes vegetation to grow,
and then it absorbs energy from the growth.
                ",ulu
787,Tapu,"
                  The dense fog it creates brings the downfall
and destruction of its confused enemies.
Ocean currents are the source of its energy.
                ",ini
788,Cosmog,"
                  Its body is gaseous and frail. It slowly grows as
it collects dust from the atmosphere.
                ",789
789,Cosmoem,"
                  Motionless as if dead, its body is faintly warm to
the touch. In the distant past, it was called the
cocoon of the stars.
                ",790
790,Solgaleo,"
                  It is said to live in another world. The intense
light it radiates from the surface of its body can
make the darkest of nights light up like midday.
                ",791
791,Lunala,"
                  It is said to be a female evolution of Cosmog.
When its third eye activates, away it flies to
another world.
                ",792
792,Nihilego,"
                  One of several mysterious Ultra Beasts. People
on the street report observing those infested
by it suddenly becoming violent.
                ",793
793,Buzzwole,"
                  This Ultra Beast appeared from another world.
It shows off its body, but whether that display
is a boast or a threat remains unclear.
                ",794
794,Pheromosa,"
                  One of the dangerous Ultra Beasts, it has been
spotted running across the land at
terrific speeds.
                ",795
795,Xurkitree,"
                  One of the mysterious life-forms known as Ultra
Beasts. Astonishing electric shocks emanate
from its entire body, according to witnesses.
                ",796
796,Celesteela,"
                  It appeared from the Ultra Wormhole. Witnesses
observed it flying across the sky at high speed.
                ",797
797,Kartana,"
                  This Ultra Beast came from the Ultra Wormhole.
It seems not to attack enemies on its own, but
its sharp body is a dangerous weapon in itself.
                ",798
798,Guzzlord,"
                  It has gobbled mountains and swallowed whole
buildings, according to reports. It's one of the
Ultra Beasts.
                ",799
799,Necrozma,"
                  Reminiscent of the Ultra Beasts, this life-form,
apparently asleep underground, is thought to
have come from another world in ancient times.
                ",800
800,Magearna,"
                  This artificial Pokémon, constructed more than
500 years ago, can understand human speech
but cannot itself speak.
                ",801
801,Marshadow,"
                  It slips into the shadows of others and mimics

their powers and movements. As it improves, it

becomes stronger than those it's imitating.
                ",802
802,Poipole,"
                  This Ultra Beast is well enough liked to be

chosen as a first partner in its own world.
                ",803
803,Naganadel,"
                  It stores hundreds of liters of poisonous liquid

inside its body. It is one of the organisms known

as UBs.
                ",804
804,Stakataka,"
                  It appeared from an Ultra Wormhole. Each one

appears to be made up of many life-forms

stacked one on top of each other.
                ",805
805,Blacephalon,"
                  It slithers toward people. Then, without warning,

it triggers the explosion of its own head.

It's apparently one kind of Ultra Beast.
                ",806
806,Zeraora,"
                  It electrifies its claws and tears its opponents apart with them. Even if they dodge its attack, they'll be electrocuted by the flying sparks.
                ",807
807,Meltan,"
                  It melts particles of iron and other metals found
in the subsoil, so it can absorb them into its
body of molten steel.
                ",808
808,Melmetal,"
                  Revered long ago for its capacity to create iron
from nothing, for some reason it has come back
to life after 3,000 years.
                ",809
809,Grookey,"
                  When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.
                ",810
810,Thwackey,"
                  The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers.
                ",811
811,Rillaboom,"
                  By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.
                ",812
812,Scorbunny,"
                  A warm-up of running around gets fire energy coursing through this Pokémon's body. Once that happens, it's ready to fight at full power.
                ",813
813,Raboot,"
                  Its thick and fluffy fur protects it from the cold and enables it to use hotter fire moves.
                ",814
814,Cinderace,"
                  It juggles a pebble with its feet, turning it into a burning soccer ball. Its shots strike opponents hard and leave them scorched.
                ",815
815,Sobble,"
                  When scared, this Pokémon cries. Its tears pack the chemical punch of 100 onions, and attackers won't be able to resist weeping.
                ",816
816,Drizzile,"
                  A clever combatant, this Pokémon battles using water balloons created with moisture secreted from its palms.
                ",817
817,Inteleon,"
                  It has many hidden capabilities, such as fingertips that can shoot water and a membrane on its back that it can use to glide through the air.
                ",818
818,Skwovet,"
                  Found throughout the Galar region, this Pokémon becomes uneasy if its cheeks are ever completely empty of berries.
                ",819
819,Greedent,"
                  It stashes berries in its tail—so many berries that they fall out constantly. But this Pokémon is a bit slow-witted, so it doesn't notice the loss.
                ",820
820,Rookidee,"
                  It will bravely challenge any opponent, no matter how powerful. This Pokémon benefits from every battle—even a defeat increases its strength a bit.
                ",821
821,Corvisquire,"
                  Smart enough to use tools in battle, these Pokémon have been seen picking up rocks and flinging them or using ropes to wrap up enemies.
                ",822
822,Corviknight,"
                  This Pokémon reigns supreme in the skies of the Galar region. The black luster of its steel body could drive terror into the heart of any foe.
                ",823
823,Blipbug,"
                  A constant collector of information, this Pokémon is very smart. Very strong is what it isn't.
                ",824
824,Dottler,"
                  It barely moves, but it's still alive. Hiding in its shell without food or water seems to have awakened its psychic powers.
                ",825
825,Orbeetle,"
                  It's famous for its high level of intelligence, and the large size of its brain is proof that it also possesses immense psychic power.
                ",826
826,Nickit,"
                  Aided by the soft pads on its feet, it silently raids the food stores of other Pokémon. It survives off its ill-gotten gains.
                ",827
